iter	Quantile:alpha=0.6
0	3.909073406
1	3.845549562
2	3.784605019
3	3.725975419
4	3.668278417
5	3.612516437
6	3.561011208
7	3.512192244
8	3.462442874
9	3.415597965
10	3.369463438
11	3.324491313
12	3.281987093
13	3.239743869
14	3.204449281
15	3.170385809
16	3.137550819
17	3.107559873
18	3.073555695
19	3.04186416
20	3.012987288
21	2.984915955
22	2.957255752
23	2.931169205
24	2.907072528
25	2.880139611
26	2.856236949
27	2.83363443
28	2.810194571
29	2.791277856
30	2.772737316
31	2.754430734
32	2.736251685
33	2.71782601
34	2.700813431
35	2.685622673
36	2.669090109
37	2.655690905
38	2.64094164
39	2.627446392
40	2.615220822
41	2.603959312
42	2.590695307
43	2.57871317
44	2.56691449
45	2.5572327
46	2.54580687
47	2.53721222
48	2.529200359
49	2.520073671
50	2.510696566
51	2.502868639
52	2.494039983
53	2.486130516
54	2.478040271
55	2.472365406
56	2.467669502
57	2.461960056
58	2.455209852
59	2.449136782
60	2.444542573
61	2.43875955
62	2.433086725
63	2.427890707
64	2.424603681
65	2.422111544
66	2.41677594
67	2.412239262
68	2.40782575
69	2.403524891
70	2.400367251
71	2.397031891
72	2.393674235
73	2.390515446
74	2.386866575
75	2.384731974
76	2.38152482
77	2.379565633
78	2.376214783
79	2.37305453
80	2.371327001
81	2.368315611
82	2.365714086
83	2.36248065
84	2.359736903
85	2.358133079
86	2.35586814
87	2.353178889
88	2.35002768
89	2.347304789
90	2.346346158
91	2.343389736
92	2.342737839
93	2.340876171
94	2.338953598
95	2.338226661
96	2.336952249
97	2.335909925
98	2.334276667
99	2.33318875
100	2.331752422
101	2.330101777
102	2.329752491
103	2.329314313
104	2.327809637
105	2.325925421
106	2.325010067
107	2.324324897
108	2.323036829
109	2.322703895
110	2.321577056
111	2.320135103
112	2.320068518
113	2.319194222
114	2.31776716
115	2.317703355
116	2.31740707
117	2.316565668
118	2.316392656
119	2.31599995
120	2.315662691
121	2.314387103
122	2.313908883
123	2.313244238
124	2.311398847
125	2.311026057
126	2.310263708
127	2.309478992
128	2.308483254
129	2.307829643
130	2.306893547
131	2.306556095
132	2.30564054
133	2.304835684
134	2.304203011
135	2.303362132
136	2.302686644
137	2.302146272
138	2.302085396
139	2.301690126
140	2.301394249
141	2.300837406
142	2.300512417
143	2.29955325
144	2.299590964
145	2.299123839
146	2.298235026
147	2.296713766
148	2.296515047
149	2.295732965
150	2.295260454
151	2.295141951
152	2.294972871
153	2.294633476
154	2.293673175
155	2.293555198
156	2.291568227
157	2.291367433
158	2.290640207
159	2.29037733
160	2.28902128
161	2.287709685
162	2.287263592
163	2.286799297
164	2.286661378
165	2.286362801
166	2.286162872
167	2.285746497
168	2.285220375
169	2.284608675
170	2.283776445
171	2.283709233
172	2.283011193
173	2.282734489
174	2.282154618
175	2.281895649
176	2.28150469
177	2.280749789
178	2.280611355
179	2.280423262
180	2.280090996
181	2.27966668
182	2.279549543
183	2.278994734
184	2.278026014
185	2.277238918
186	2.276757725
187	2.276004168
188	2.275571075
189	2.275061097
190	2.274475196
191	2.274131015
192	2.273227935
193	2.27282344
194	2.27210325
195	2.271980664
196	2.271942752
197	2.271473591
198	2.271406673
199	2.270324342
200	2.269698591
201	2.268642141
202	2.268009496
203	2.267057469
204	2.266918266
205	2.266582202
206	2.266274933
207	2.266154238
208	2.265874413
209	2.264844391
210	2.264680152
211	2.264092284
212	2.263297911
213	2.262817819
214	2.262592027
215	2.262359655
216	2.261405412
217	2.261089324
218	2.260549157
219	2.260423146
220	2.260313023
221	2.259789655
222	2.258679207
223	2.25801132
224	2.257855274
225	2.25764792
226	2.257428728
227	2.256837499
228	2.256321753
229	2.255187185
230	2.254913479
231	2.254446887
232	2.253850011
233	2.25375212
234	2.253439949
235	2.253320096
236	2.252561035
237	2.251633182
238	2.251389048
239	2.250950039
240	2.250774259
241	2.250575629
242	2.249241372
243	2.248454887
244	2.247455692
245	2.246718038
246	2.246316688
247	2.245754372
248	2.245403706
249	2.245074911
250	2.245020981
251	2.244589703
252	2.244291401
253	2.243744512
254	2.243150088
255	2.243023974
256	2.242928524
257	2.241773393
258	2.241558538
259	2.241326883
260	2.241250411
261	2.241025242
262	2.240947833
263	2.240885265
264	2.240224964
265	2.239892052
266	2.239533495
267	2.239468713
268	2.238987333
269	2.238398842
270	2.238201008
271	2.237982868
272	2.236678498
273	2.236022011
274	2.235333058
275	2.235064862
276	2.234725865
277	2.234266394
278	2.234129881
279	2.233326502
280	2.232827764
281	2.232009014
282	2.231845984
283	2.23163442
284	2.231480023
285	2.23093457
286	2.2305039
287	2.230452306
288	2.230007094
289	2.229562787
290	2.228855402
291	2.228534924
292	2.228051936
293	2.227483068
294	2.227240255
295	2.226865737
296	2.226647719
297	2.226266395
298	2.225969871
299	2.225448718
300	2.225246531
301	2.225051228
302	2.224884122
303	2.224303017
304	2.224084489
305	2.223662328
306	2.2233353
307	2.222620944
308	2.221549468
309	2.221220131
310	2.220340682
311	2.220242812
312	2.220030196
313	2.219861767
314	2.219345012
315	2.218894198
316	2.218457323
317	2.2182066
318	2.21798809
319	2.217745817
320	2.217562625
321	2.217263942
322	2.216459612
323	2.216093431
324	2.215693575
325	2.215128887
326	2.21482784
327	2.214386207
328	2.214093798
329	2.212634471
330	2.211938134
331	2.211407937
332	2.210886954
333	2.210813477
334	2.210526835
335	2.210367301
336	2.210172693
337	2.209399049
338	2.208962574
339	2.208921336
340	2.208642915
341	2.208132433
342	2.207816665
343	2.207226802
344	2.206796282
345	2.206687568
346	2.20633433
347	2.205839312
348	2.205492827
349	2.205179374
350	2.204921103
351	2.204831957
352	2.204640082
353	2.204216934
354	2.203926658
355	2.20368456
356	2.203234944
357	2.20288642
358	2.202570878
359	2.20151541
360	2.201011155
361	2.20094438
362	2.200620568
363	2.200220853
364	2.199969538
365	2.199725822
366	2.199318309
367	2.199072025
368	2.198413953
369	2.198329587
370	2.197799924
371	2.197428196
372	2.196834388
373	2.196457623
374	2.195652552
375	2.195251864
376	2.195037214
377	2.194919137
378	2.194107216
379	2.193362341
380	2.193020752
381	2.192333135
382	2.192157552
383	2.191881542
384	2.191920798
385	2.191895052
386	2.19163244
387	2.191446402
388	2.190573793
389	2.190204695
390	2.188443472
391	2.188093355
392	2.187229758
393	2.186911496
394	2.18657359
395	2.185851984
396	2.184269775
397	2.183660241
398	2.183356786
399	2.181739423
400	2.18051376
401	2.180230459
402	2.179911642
403	2.179314459
404	2.179088902
405	2.177989605
406	2.177561081
407	2.176760342
408	2.175981565
409	2.174501464
410	2.173686521
411	2.173386733
412	2.173064798
413	2.17281524
414	2.172701451
415	2.172201639
416	2.171083953
417	2.170965045
418	2.170047083
419	2.169631737
420	2.169334131
421	2.168085143
422	2.167223059
423	2.166994199
424	2.166008401
425	2.164246884
426	2.162690824
427	2.161739187
428	2.161025027
429	2.160769066
430	2.15955329
431	2.158456423
432	2.158012773
433	2.157430466
434	2.156977696
435	2.156664896
436	2.155604971
437	2.1555343
438	2.153614638
439	2.151932624
440	2.1511527
441	2.149978786
442	2.148778728
443	2.148739278
444	2.148465842
445	2.147732831
446	2.147627084
447	2.147510643
