iter	Passed	Remaining
0	20	80145
1	34	69487
2	62	83726
3	112	112329
4	150	119994
5	177	118142
6	190	108897
7	204	102281
8	222	98722
9	247	98932
10	264	95889
11	281	93434
12	295	90518
13	309	88003
14	323	86046
15	338	84185
16	352	82519
17	367	81249
18	381	79955
19	396	78910
20	410	77758
21	423	76583
22	437	75687
23	451	74841
24	465	74068
25	478	73202
26	494	72692
27	508	72128
28	523	71685
29	537	71176
30	551	70624
31	565	70140
32	579	69709
33	594	69321
34	607	68843
35	621	68402
36	635	68095
37	650	67854
38	664	67486
39	678	67140
40	692	66834
41	707	66650
42	721	66393
43	734	66068
44	748	65761
45	762	65562
46	777	65401
47	791	65177
48	805	64980
49	819	64750
50	833	64566
51	849	64475
52	863	64327
53	878	64224
54	891	63975
55	905	63783
56	919	63632
57	933	63456
58	948	63325
59	961	63165
60	975	62994
61	989	62857
62	1004	62795
63	1019	62675
64	1033	62556
65	1048	62473
66	1061	62306
67	1075	62190
68	1089	62059
69	1104	61983
70	1118	61894
71	1132	61802
72	1147	61722
73	1161	61642
74	1175	61504
75	1188	61344
76	1202	61257
77	1216	61179
78	1230	61055
79	1244	60974
80	1258	60877
81	1272	60803
82	1285	60682
83	1300	60623
84	1315	60612
85	1329	60526
86	1344	60482
87	1359	60426
88	1373	60339
89	1387	60283
90	1401	60184
91	1414	60083
92	1428	60012
93	1442	59938
94	1455	59843
95	1469	59779
96	1485	59753
97	1498	59678
98	1512	59579
99	1526	59515
100	1539	59425
101	1552	59344
102	1566	59278
103	1580	59217
104	1595	59181
105	1608	59086
106	1622	59041
107	1636	58981
108	1652	58974
109	1665	58900
110	1679	58857
111	1693	58775
112	1707	58730
113	1720	58658
114	1733	58564
115	1746	58478
116	1760	58414
117	1773	58355
118	1787	58305
119	1804	58353
120	1817	58268
121	1830	58181
122	1844	58130
123	1857	58073
124	1871	58028
125	1884	57937
126	1897	57858
127	1911	57824
128	1923	57720
129	1937	57675
130	1951	57639
131	1965	57582
132	1979	57551
133	1992	57484
134	2007	57468
135	2021	57422
136	2034	57365
137	2048	57323
138	2061	57249
139	2074	57210
140	2087	57145
141	2102	57115
142	2116	57079
143	2131	57070
144	2144	57020
145	2158	56970
146	2171	56919
147	2185	56874
148	2199	56838
149	2212	56777
150	2226	56751
151	2240	56726
152	2255	56718
153	2269	56682
154	2284	56659
155	2297	56613
156	2310	56555
157	2323	56498
158	2336	56439
159	2349	56397
160	2363	56367
161	2376	56313
162	2391	56300
163	2404	56236
164	2418	56201
165	2432	56190
166	2446	56155
167	2459	56107
168	2472	56047
169	2485	56007
170	2498	55954
171	2512	55911
172	2526	55886
173	2540	55857
174	2554	55825
175	2568	55797
176	2582	55785
177	2595	55732
178	2609	55699
179	2623	55670
180	2636	55633
181	2651	55631
182	2664	55582
183	2678	55551
184	2691	55501
185	2705	55481
186	2717	55415
187	2731	55384
188	2746	55371
189	2760	55352
190	2775	55346
191	2788	55306
192	2801	55266
193	2814	55225
194	2828	55191
195	2842	55159
196	2849	55006
197	2862	54970
198	2876	54939
199	2889	54893
200	2903	54876
201	2917	54849
202	2931	54824
203	2943	54775
204	2957	54748
205	2972	54745
206	2986	54728
207	3000	54709
208	3014	54685
209	3034	54766
210	3048	54750
211	3063	54735
212	3077	54709
213	3091	54693
214	3104	54652
215	3118	54635
216	3132	54611
217	3145	54577
218	3158	54539
219	3172	54501
220	3184	54457
221	3198	54430
222	3213	54421
223	3227	54399
224	3240	54367
225	3255	54358
226	3268	54328
227	3282	54313
228	3298	54310
229	3313	54309
230	3328	54309
231	3341	54274
232	3356	54258
233	3370	54251
234	3385	54238
235	3399	54211
236	3412	54180
237	3427	54179
238	3442	54168
239	3457	54168
240	3470	54138
241	3484	54113
242	3498	54096
243	3512	54064
244	3524	54023
245	3538	53997
246	3552	53971
247	3565	53949
248	3580	53938
249	3593	53908
250	3607	53888
251	3621	53855
252	3633	53818
253	3648	53813
254	3663	53809
255	3677	53781
256	3690	53744
257	3704	53733
258	3718	53707
259	3731	53682
260	3746	53665
261	3760	53646
262	3774	53628
263	3788	53608
264	3801	53581
265	3815	53561
266	3829	53535
267	3843	53519
268	3857	53497
269	3870	53474
270	3883	53442
271	3897	53420
272	3911	53394
273	3924	53370
274	3939	53355
275	3952	53336
276	3966	53306
277	3980	53293
278	3993	53255
279	4005	53218
280	4019	53195
281	4034	53188
282	4048	53175
283	4062	53150
284	4077	53146
285	4090	53120
286	4105	53115
287	4119	53093
288	4132	53061
